time,entry_name,entry_user,current_points,maximum,r16,r32,r64,rank,percentile
2024-03-30 12:00:00,Rebounds over Rework,ESPNFAN1522828408,740,1700,240,260,240,1,99.9
2024-03-30 12:00:00,Overshoot don't Collapse,ESPNFAN0275865701,700,1500,160,300,240,2,99.7
2024-03-30 12:00:00,Rio's puppy madness,RW15371501,630,1270,200,180,250,3,95.6
2024-03-30 12:00:00,Dan's Picks,ESPNFAN3409828595,630,1430,160,240,230,3,95.6
2024-03-30 12:00:00,Connecticut=Championships,espnfan28366074,610,1170,120,280,210,5,92.2
2024-03-30 12:00:00,Rick's Picks,ESPNFAN9352171647,600,1400,160,240,200,6,90
2024-03-30 12:00:00,EEQESKL greater than 1,erinevoss,590,1150,120,220,250,7,87.1
2024-03-30 12:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,580,980,160,200,220,8,83.5
2024-03-30 12:00:00,¯\_(ツ)_/¯,JoshKep,580,1380,120,200,260,8,83.5
2024-03-30 12:00:00,Erin B.,ebreezy06,570,1370,160,180,230,10,79.7
2024-03-30 12:00:00,Rain dance,BDDJMerritt15,570,1210,120,220,230,10,79.7
2024-03-30 12:00:00,Brennan's Picks,brennan_oc43,560,1360,80,260,220,12,73
2024-03-30 12:00:00,Not the right outliers,Essigcandy,550,870,80,240,230,13,69.1
2024-03-30 12:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,540,780,120,200,220,14,65
2024-03-30 12:00:00,The Algorithm,espnfan7035969934,530,1330,160,160,210,15,60.9
2024-03-30 12:00:00,Kula Than Your Bracket,espnfan1467754849,520,680,120,180,220,16,56.7
2024-03-30 12:00:00,a truly STELLAr bracket,czoldak,490,1050,120,160,210,17,44.6
2024-03-30 12:00:00,Donna's pick #1,ESPNFAN5573415521,480,1120,80,200,200,18,41
2024-03-30 12:00:00,Stella MM Output v38,espnfan39396853,480,720,80,180,220,18,41
2024-03-30 12:00:00,Will’s Bracket,w11k1,460,540,80,160,220,20,34.2
2024-03-30 12:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,420,80,140,200,21,23.8
2024-03-30 12:00:00,The Anilyst's Picks,The Anilyst,400,640,80,160,160,22,20.2
2024-03-30 12:00:00,Guided Coin Toss,01100001 01111010,380,380,40,160,180,23,17.3
2024-03-30 12:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,80,210,24,10
2024-03-30 12:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,60,150,25,6.3
2024-03-30 12:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,26,0
