time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 23:00:00,Erin B.,ebreezy06,110,1770,110,1,99.9
2024-03-21 23:00:00,¯\_(ツ)_/¯,JoshKep,110,1910,110,1,99.9
2024-03-21 23:00:00,Rebounds over Rework,ESPNFAN1522828408,100,1820,100,3,98.3
2024-03-21 23:00:00,EEQESKL greater than 1,erinevoss,100,1600,100,3,98.3
2024-03-21 23:00:00,Stella MM Output v38,espnfan39396853,90,1830,90,5,89
2024-03-21 23:00:00,Brennan's Picks,brennan_oc43,90,1830,90,5,89
2024-03-21 23:00:00,Overshoot don't Collapse,ESPNFAN0275865701,90,1890,90,5,89
2024-03-21 23:00:00,Kula Than Your Bracket,espnfan1467754849,90,1810,90,5,89
2024-03-21 23:00:00,Rio's puppy madness,RW15371501,90,1730,90,5,89
2024-03-21 23:00:00,Rain dance,BDDJMerritt15,90,1590,90,5,89
2024-03-21 23:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,90,1890,90,5,89
2024-03-21 23:00:00,Not the right outliers,Essigcandy,90,1830,90,5,89
2024-03-21 23:00:00,Guided Coin Toss,01100001 01111010,80,1820,80,13,65.2
2024-03-21 23:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,80,1840,80,13,65.2
2024-03-21 23:00:00,Will’s Bracket,w11k1,80,1840,80,13,65.2
2024-03-21 23:00:00,Rick's Picks,ESPNFAN9352171647,80,1740,80,13,65.2
2024-03-21 23:00:00,Dan's Picks,ESPNFAN3409828595,80,1840,80,13,65.2
2024-03-21 23:00:00,Donna's pick #1,ESPNFAN5573415521,70,1550,70,18,35.7
2024-03-21 23:00:00,The Anilyst's Picks,The Anilyst,70,1770,70,18,35.7
2024-03-21 23:00:00,The Algorithm,espnfan7035969934,70,1690,70,18,35.7
2024-03-21 23:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,60,1740,60,21,18.3
2024-03-21 23:00:00,NGB (next gen bracket),ESPNFAN8470559628,60,1700,60,21,18.3
2024-03-21 23:00:00,Connecticut=Championships,espnfan28366074,60,1860,60,21,18.3
2024-03-21 23:00:00,a truly STELLAr bracket,czoldak,60,1680,60,21,18.3
2024-03-21 23:00:00,Coolest Mascots,ESPNFAN0082047637,50,1710,50,25,10.1
2024-03-21 23:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
