time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 19:00:00,Erin B.,ebreezy06,80,1920,80,1,100
2024-03-21 19:00:00,Stella MM Output v38,espnfan39396853,70,1850,70,2,94.8
2024-03-21 19:00:00,Rebounds over Rework,ESPNFAN1522828408,70,1890,70,2,94.8
2024-03-21 19:00:00,EEQESKL greater than 1,erinevoss,70,1910,70,2,100
2024-03-21 19:00:00,¯\_(ツ)_/¯,JoshKep,70,1910,70,2,100
2024-03-21 19:00:00,Brennan's Picks,brennan_oc43,60,1900,60,6,94.8
2024-03-21 19:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,60,1900,60,6,94.8
2024-03-21 19:00:00,Overshoot don't Collapse,ESPNFAN0275865701,60,1900,60,6,71.2
2024-03-21 19:00:00,Kula Than Your Bracket,espnfan1467754849,60,1840,60,6,71.2
2024-03-21 19:00:00,Rio's puppy madness,RW15371501,60,1740,60,6,94.8
2024-03-21 19:00:00,Will’s Bracket,w11k1,60,1880,60,6,71.2
2024-03-21 19:00:00,Rain dance,BDDJMerritt15,60,1900,60,6,71.2
2024-03-21 19:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,60,1900,60,6,94.8
2024-03-21 19:00:00,Not the right outliers,Essigcandy,60,1900,60,6,94.8
2024-03-21 19:00:00,Donna's pick #1,ESPNFAN5573415521,50,1890,50,15,71.2
2024-03-21 19:00:00,Guided Coin Toss,01100001 01111010,50,1830,50,15,35.9
2024-03-21 19:00:00,Connecticut=Championships,espnfan28366074,50,1890,50,15,71.2
2024-03-21 19:00:00,The Anilyst's Picks,The Anilyst,50,1830,50,15,71.2
2024-03-21 19:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,50,1870,50,15,71.2
2024-03-21 19:00:00,The Algorithm,espnfan7035969934,50,1750,50,15,71.2
2024-03-21 19:00:00,Rick's Picks,ESPNFAN9352171647,50,1890,50,15,71.2
2024-03-21 19:00:00,Dan's Picks,ESPNFAN3409828595,50,1870,50,15,71.2
2024-03-21 19:00:00,a truly STELLAr bracket,czoldak,40,1720,40,23,12.7
2024-03-21 19:00:00,NGB (next gen bracket),ESPNFAN8470559628,30,1710,30,24,6.7
2024-03-21 19:00:00,Coolest Mascots,ESPNFAN0082047637,20,1720,20,25,6.7
2024-03-21 19:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
