time,entry_name,entry_user,current_points,maximum,r16,r32,r64,rank,percentile
2024-03-28 22:00:00,Overshoot don't Collapse,ESPNFAN0275865701,580,1780,40,300,240,1,99.9
2024-03-28 22:00:00,Rebounds over Rework,ESPNFAN1522828408,540,1700,40,260,240,2,98.3
2024-03-28 22:00:00,Connecticut=Championships,espnfan28366074,530,1650,40,280,210,3,97.2
2024-03-28 22:00:00,Brennan's Picks,brennan_oc43,520,1600,40,260,220,4,95.4
2024-03-28 22:00:00,Dan's Picks,ESPNFAN3409828595,510,1630,40,240,230,5,92.7
2024-03-28 22:00:00,Not the right outliers,Essigcandy,510,1590,40,240,230,5,92.7
2024-03-28 22:00:00,EEQESKL greater than 1,erinevoss,510,1350,40,220,250,5,92.7
2024-03-28 22:00:00,¯\_(ツ)_/¯,JoshKep,500,1420,40,200,260,8,88.5
2024-03-28 22:00:00,Rain dance,BDDJMerritt15,490,1330,40,220,230,9,83.9
2024-03-28 22:00:00,Rick's Picks,ESPNFAN9352171647,480,1560,40,240,200,10,75.7
2024-03-28 22:00:00,Rio's puppy madness,RW15371501,470,1270,40,180,250,11,69.9
2024-03-28 22:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,460,1660,40,200,220,12,64.2
2024-03-28 22:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,460,1460,40,200,220,12,64.2
2024-03-28 22:00:00,Erin B.,ebreezy06,450,1410,40,180,230,14,58.6
2024-03-28 22:00:00,Donna's pick #1,ESPNFAN5573415521,440,1360,40,200,200,15,53.1
2024-03-28 22:00:00,Stella MM Output v38,espnfan39396853,440,1440,40,180,220,15,53.1
2024-03-28 22:00:00,Kula Than Your Bracket,espnfan1467754849,440,1360,40,180,220,15,53.1
2024-03-28 22:00:00,The Algorithm,espnfan7035969934,410,1410,40,160,210,18,38.1
2024-03-28 22:00:00,a truly STELLAr bracket,czoldak,410,1370,40,160,210,18,38.1
2024-03-28 22:00:00,Will’s Bracket,w11k1,380,1500,0,160,220,20,27.1
2024-03-28 22:00:00,Guided Coin Toss,01100001 01111010,340,1100,0,160,180,21,17.9
2024-03-28 22:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,340,540,0,140,200,21,17.9
2024-03-28 22:00:00,The Anilyst's Picks,The Anilyst,320,640,0,160,160,23,15.2
2024-03-28 22:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,570,0,80,210,24,12.3
2024-03-28 22:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,60,150,25,7
2024-03-28 22:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,26,0
