time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 18:00:00,Rebounds over Rework,ESPNFAN1522828408,60,1920,60,1,100
2024-03-21 18:00:00,EEQESKL greater than 1,erinevoss,60,1920,60,1,100
2024-03-21 18:00:00,Erin B.,ebreezy06,60,1920,60,1,100
2024-03-21 18:00:00,¯\_(ツ)_/¯,JoshKep,60,1920,60,1,100
2024-03-21 18:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,60,1920,60,1,100
2024-03-21 18:00:00,Stella MM Output v38,espnfan39396853,50,1850,50,6,90.1
2024-03-21 18:00:00,Brennan's Picks,brennan_oc43,50,1910,50,6,90.1
2024-03-21 18:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,50,1910,50,6,90.1
2024-03-21 18:00:00,Overshoot don't Collapse,ESPNFAN0275865701,50,1910,50,6,90.1
2024-03-21 18:00:00,Rio's puppy madness,RW15371501,50,1890,50,6,90.1
2024-03-21 18:00:00,Rick's Picks,ESPNFAN9352171647,50,1910,50,6,90.1
2024-03-21 18:00:00,Rain dance,BDDJMerritt15,50,1910,50,6,90.1
2024-03-21 18:00:00,Dan's Picks,ESPNFAN3409828595,50,1910,50,6,90.1
2024-03-21 18:00:00,Not the right outliers,Essigcandy,50,1910,50,6,90.1
2024-03-21 18:00:00,Donna's pick #1,ESPNFAN5573415521,40,1900,40,15,48.8
2024-03-21 18:00:00,Kula Than Your Bracket,espnfan1467754849,40,1840,40,15,48.8
2024-03-21 18:00:00,Connecticut=Championships,espnfan28366074,40,1900,40,15,48.8
2024-03-21 18:00:00,The Anilyst's Picks,The Anilyst,40,1840,40,15,48.8
2024-03-21 18:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,40,1880,40,15,48.8
2024-03-21 18:00:00,The Algorithm,espnfan7035969934,40,1900,40,15,48.8
2024-03-21 18:00:00,Will’s Bracket,w11k1,40,1880,40,15,48.8
2024-03-21 18:00:00,Guided Coin Toss,01100001 01111010,30,1830,30,22,16.4
2024-03-21 18:00:00,a truly STELLAr bracket,czoldak,30,1870,30,22,16.4
2024-03-21 18:00:00,NGB (next gen bracket),ESPNFAN8470559628,10,1710,10,24,5.3
2024-03-21 18:00:00,Coolest Mascots,ESPNFAN0082047637,10,1730,10,24,5.3
2024-03-21 18:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
