time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 09:00:00,EEQESKL greater than 1,erinevoss,140,1600,140,1,99.7
2024-03-22 09:00:00,Erin B.,ebreezy06,140,1760,140,1,99.7
2024-03-22 09:00:00,¯\_(ツ)_/¯,JoshKep,140,1900,140,1,99.7
2024-03-22 09:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,130,1890,130,4,97.4
2024-03-22 09:00:00,Overshoot don't Collapse,ESPNFAN0275865701,120,1860,120,5,89.2
2024-03-22 09:00:00,Rebounds over Rework,ESPNFAN1522828408,120,1800,120,5,89.2
2024-03-22 09:00:00,Dan's Picks,ESPNFAN3409828595,120,1840,120,5,89.2
2024-03-22 09:00:00,Stella MM Output v38,espnfan39396853,110,1790,110,8,71.5
2024-03-22 09:00:00,Brennan's Picks,brennan_oc43,110,1810,110,8,71.5
2024-03-22 09:00:00,Kula Than Your Bracket,espnfan1467754849,110,1770,110,8,71.5
2024-03-22 09:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,110,1830,110,8,71.5
2024-03-22 09:00:00,Rio's puppy madness,RW15371501,110,1390,110,8,71.5
2024-03-22 09:00:00,Rick's Picks,ESPNFAN9352171647,110,1730,110,8,71.5
2024-03-22 09:00:00,Rain dance,BDDJMerritt15,110,1570,110,8,71.5
2024-03-22 09:00:00,Not the right outliers,Essigcandy,110,1810,110,8,71.5
2024-03-22 09:00:00,Donna's pick #1,ESPNFAN5573415521,100,1540,100,16,45.5
2024-03-22 09:00:00,Guided Coin Toss,01100001 01111010,100,1760,100,16,45.5
2024-03-22 09:00:00,The Algorithm,espnfan7035969934,100,1660,100,16,45.5
2024-03-22 09:00:00,a truly STELLAr bracket,czoldak,100,1680,100,16,45.5
2024-03-22 09:00:00,Will’s Bracket,w11k1,100,1800,100,16,45.5
2024-03-22 09:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,90,1730,90,21,27.4
2024-03-22 09:00:00,NGB (next gen bracket),ESPNFAN8470559628,90,1690,90,21,27.4
2024-03-22 09:00:00,Connecticut=Championships,espnfan28366074,90,1850,90,21,27.4
2024-03-22 09:00:00,The Anilyst's Picks,The Anilyst,90,1750,90,21,27.4
2024-03-22 09:00:00,Coolest Mascots,ESPNFAN0082047637,80,1700,80,25,15.8
2024-03-22 09:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
