time,entry_name,entry_user,current_points,maximum,r8,r16,r32,r64,rank,percentile
2024-03-31 12:00:00,Rebounds over Rework,ESPNFAN1522828408,900,1700,160,240,260,240,1,99.9
2024-03-31 12:00:00,Overshoot don't Collapse,ESPNFAN0275865701,780,1500,80,160,300,240,2,99.2
2024-03-31 12:00:00,Dan's Picks,ESPNFAN3409828595,710,1430,80,160,240,230,3,95.3
2024-03-31 12:00:00,Connecticut=Championships,espnfan28366074,690,1170,80,120,280,210,4,92.5
2024-03-31 12:00:00,Rick's Picks,ESPNFAN9352171647,680,1400,80,160,240,200,5,90.8
2024-03-31 12:00:00,EEQESKL greater than 1,erinevoss,670,1150,80,120,220,250,6,88.4
2024-03-31 12:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,660,980,80,160,200,220,7,85.5
2024-03-31 12:00:00,¯\_(ツ)_/¯,JoshKep,660,1380,80,120,200,260,7,85.5
2024-03-31 12:00:00,Erin B.,ebreezy06,650,1370,80,160,180,230,9,82.6
2024-03-31 12:00:00,Rain dance,BDDJMerritt15,650,1210,80,120,220,230,9,82.6
2024-03-31 12:00:00,Brennan's Picks,brennan_oc43,640,1360,80,80,260,220,11,76.8
2024-03-31 12:00:00,Not the right outliers,Essigcandy,630,870,80,80,240,230,12,73.9
2024-03-31 12:00:00,Rio's puppy madness,RW15371501,630,1270,0,200,180,250,12,73.9
2024-03-31 12:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,620,780,80,120,200,220,14,70.9
2024-03-31 12:00:00,The Algorithm,espnfan7035969934,610,1330,80,160,160,210,15,67.9
2024-03-31 12:00:00,Kula Than Your Bracket,espnfan1467754849,600,680,80,120,180,220,16,64.8
2024-03-31 12:00:00,a truly STELLAr bracket,czoldak,570,1050,80,120,160,210,17,55.5
2024-03-31 12:00:00,Donna's pick #1,ESPNFAN5573415521,560,1120,80,80,200,200,18,52.5
2024-03-31 12:00:00,Stella MM Output v38,espnfan39396853,560,720,80,80,180,220,18,52.5
2024-03-31 12:00:00,Will’s Bracket,w11k1,460,540,0,80,160,220,20,27.4
2024-03-31 12:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,420,0,80,140,200,21,20.6
2024-03-31 12:00:00,The Anilyst's Picks,The Anilyst,400,640,0,80,160,160,22,17.9
2024-03-31 12:00:00,Guided Coin Toss,01100001 01111010,380,380,0,40,160,180,23,15.7
2024-03-31 12:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,0,80,210,24,9.6
2024-03-31 12:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,0,60,150,25,6.2
2024-03-31 12:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,0,26,0
