time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 14:00:00,Stella MM Output v38,espnfan39396853,10,1920,10,1,100
2024-03-21 14:00:00,Brennan's Picks,brennan_oc43,10,1920,10,1,100
2024-03-21 14:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,10,1920,10,1,100
2024-03-21 14:00:00,Overshoot don't Collapse,ESPNFAN0275865701,10,1920,10,1,100
2024-03-21 14:00:00,Rebounds over Rework,ESPNFAN1522828408,10,1920,10,1,100
2024-03-21 14:00:00,EEQESKL greater than 1,erinevoss,10,1920,10,1,100
2024-03-21 14:00:00,The Anilyst's Picks,The Anilyst,10,1920,10,1,100
2024-03-21 14:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,10,1920,10,1,100
2024-03-21 14:00:00,Coolest Mascots,ESPNFAN0082047637,10,1920,10,1,100
2024-03-21 14:00:00,Will’s Bracket,w11k1,10,1920,10,1,100
2024-03-21 14:00:00,Rain dance,BDDJMerritt15,10,1920,10,1,100
2024-03-21 14:00:00,Erin B.,ebreezy06,10,1920,10,1,100
2024-03-21 14:00:00,Josh's Picks,JoshKep,10,1920,10,1,100
2024-03-21 14:00:00,Dan's Picks,ESPNFAN3409828595,10,1920,10,1,100
2024-03-21 14:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,10,1920,10,1,100
2024-03-21 14:00:00,Not the right outliers,Essigcandy,10,1920,10,1,100
2024-03-21 14:00:00,Donna's pick #1,ESPNFAN5573415521,0,1910,0,17,0
2024-03-21 14:00:00,Kula Than Your Bracket,espnfan1467754849,0,1910,0,17,0
2024-03-21 14:00:00,NGB (next gen bracket),ESPNFAN8470559628,0,1910,0,17,0
2024-03-21 14:00:00,Guided Coin Toss,01100001 01111010,0,1910,0,17,0
2024-03-21 14:00:00,Connecticut=Championships,espnfan28366074,0,1910,0,17,0
2024-03-21 14:00:00,Rio's puppy madness,RW15371501,0,1890,0,17,0
2024-03-21 14:00:00,The Algorithm,espnfan7035969934,0,1910,0,17,0
2024-03-21 14:00:00,a truly STELLAr bracket,czoldak,0,1910,0,17,0
2024-03-21 14:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,17,0
2024-03-21 14:00:00,Rick's Picks,ESPNFAN9352171647,0,1910,0,17,0
