time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 15:00:00,EEQESKL greater than 1,erinevoss,150,1590,150,1,99.7
2024-03-22 15:00:00,Erin B.,ebreezy06,150,1750,150,1,99.7
2024-03-22 15:00:00,¯\_(ツ)_/¯,JoshKep,150,1890,150,1,99.7
2024-03-22 15:00:00,Overshoot don't Collapse,ESPNFAN0275865701,140,1860,140,4,89.7
2024-03-22 15:00:00,Rebounds over Rework,ESPNFAN1522828408,140,1800,140,4,89.7
2024-03-22 15:00:00,Dan's Picks,ESPNFAN3409828595,140,1840,140,4,89.7
2024-03-22 15:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,140,1880,140,4,97.6
2024-03-22 15:00:00,Stella MM Output v38,espnfan39396853,130,1790,130,8,72.7
2024-03-22 15:00:00,Kula Than Your Bracket,espnfan1467754849,130,1770,130,8,72.7
2024-03-22 15:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,130,1830,130,8,72.7
2024-03-22 15:00:00,Not the right outliers,Essigcandy,130,1810,130,8,72.7
2024-03-22 15:00:00,Brennan's Picks,brennan_oc43,120,1800,120,12,72.7
2024-03-22 15:00:00,Rio's puppy madness,RW15371501,120,1380,120,12,72.7
2024-03-22 15:00:00,a truly STELLAr bracket,czoldak,120,1680,120,12,47.1
2024-03-22 15:00:00,Rick's Picks,ESPNFAN9352171647,120,1720,120,12,72.7
2024-03-22 15:00:00,Rain dance,BDDJMerritt15,120,1560,120,12,72.7
2024-03-22 15:00:00,Donna's pick #1,ESPNFAN5573415521,110,1530,110,17,47.1
2024-03-22 15:00:00,Guided Coin Toss,01100001 01111010,110,1750,110,17,47.1
2024-03-22 15:00:00,Connecticut=Championships,espnfan28366074,110,1850,110,17,29.2
2024-03-22 15:00:00,The Anilyst's Picks,The Anilyst,110,1750,110,17,29.2
2024-03-22 15:00:00,The Algorithm,espnfan7035969934,110,1650,110,17,47.1
2024-03-22 15:00:00,Will’s Bracket,w11k1,110,1790,110,17,47.1
2024-03-22 15:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,100,1660,100,23,17.5
2024-03-22 15:00:00,NGB (next gen bracket),ESPNFAN8470559628,100,1660,100,23,17.5
2024-03-22 15:00:00,Coolest Mascots,ESPNFAN0082047637,90,1690,90,25,11.2
2024-03-22 15:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
