time,entry_name,entry_user,current_points,maximum,r16,r32,r64,rank,percentile
2024-03-29 23:00:00,Rebounds over Rework,ESPNFAN1522828408,660,1700,160,260,240,1,99.8
2024-03-29 23:00:00,Overshoot don't Collapse,ESPNFAN0275865701,620,1500,80,300,240,2,98.6
2024-03-29 23:00:00,Connecticut=Championships,espnfan28366074,610,1570,120,280,210,3,97.8
2024-03-29 23:00:00,Dan's Picks,ESPNFAN3409828595,590,1470,120,240,230,4,95.5
2024-03-29 23:00:00,EEQESKL greater than 1,erinevoss,590,1310,120,220,250,4,95.5
2024-03-29 23:00:00,Rick's Picks,ESPNFAN9352171647,560,1440,120,240,200,6,88.7
2024-03-29 23:00:00,Brennan's Picks,brennan_oc43,560,1520,80,260,220,6,88.7
2024-03-29 23:00:00,Rio's puppy madness,RW15371501,550,1270,120,180,250,8,85.3
2024-03-29 23:00:00,Not the right outliers,Essigcandy,550,1510,80,240,230,8,85.3
2024-03-29 23:00:00,¯\_(ツ)_/¯,JoshKep,540,1420,80,200,260,10,81.1
2024-03-29 23:00:00,Erin B.,ebreezy06,530,1410,120,180,230,11,76.6
2024-03-29 23:00:00,Rain dance,BDDJMerritt15,530,1250,80,220,230,11,76.6
2024-03-29 23:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,500,980,80,200,220,13,59.6
2024-03-29 23:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,500,1380,80,200,220,13,59.6
2024-03-29 23:00:00,The Algorithm,espnfan7035969934,490,1370,120,160,210,15,55.1
2024-03-29 23:00:00,Donna's pick #1,ESPNFAN5573415521,480,1200,80,200,200,16,50.7
2024-03-29 23:00:00,Kula Than Your Bracket,espnfan1467754849,480,720,80,180,220,16,50.7
2024-03-29 23:00:00,a truly STELLAr bracket,czoldak,450,1050,80,160,210,18,38.4
2024-03-29 23:00:00,Stella MM Output v38,espnfan39396853,440,720,40,180,220,19,34.9
2024-03-29 23:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,540,80,140,200,20,28.6
2024-03-29 23:00:00,Will’s Bracket,w11k1,420,1140,40,160,220,20,28.6
2024-03-29 23:00:00,The Anilyst's Picks,The Anilyst,360,640,40,160,160,22,16.8
2024-03-29 23:00:00,Guided Coin Toss,01100001 01111010,340,500,0,160,180,23,14.5
2024-03-29 23:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,80,210,24,10.6
2024-03-29 23:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,60,150,25,6.5
2024-03-29 23:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,26,0
