time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 17:00:00,Rebounds over Rework,ESPNFAN1522828408,50,1920,50,1,100
2024-03-21 17:00:00,EEQESKL greater than 1,erinevoss,50,1920,50,1,100
2024-03-21 17:00:00,Erin B.,ebreezy06,50,1920,50,1,100
2024-03-21 17:00:00,¯\_(ツ)_/¯,JoshKep,50,1920,50,1,100
2024-03-21 17:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,50,1920,50,1,100
2024-03-21 17:00:00,Stella MM Output v38,espnfan39396853,40,1850,40,6,89
2024-03-21 17:00:00,Brennan's Picks,brennan_oc43,40,1910,40,6,89
2024-03-21 17:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,40,1910,40,6,89
2024-03-21 17:00:00,Overshoot don't Collapse,ESPNFAN0275865701,40,1910,40,6,89
2024-03-21 17:00:00,The Anilyst's Picks,The Anilyst,40,1850,40,6,89
2024-03-21 17:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,40,1890,40,6,89
2024-03-21 17:00:00,Rio's puppy madness,RW15371501,40,1890,40,6,89
2024-03-21 17:00:00,Rick's Picks,ESPNFAN9352171647,40,1910,40,6,89
2024-03-21 17:00:00,Rain dance,BDDJMerritt15,40,1910,40,6,89
2024-03-21 17:00:00,Dan's Picks,ESPNFAN3409828595,40,1910,40,6,89
2024-03-21 17:00:00,Not the right outliers,Essigcandy,40,1910,40,6,89
2024-03-21 17:00:00,Donna's pick #1,ESPNFAN5573415521,30,1900,30,17,44.6
2024-03-21 17:00:00,Kula Than Your Bracket,espnfan1467754849,30,1840,30,17,44.6
2024-03-21 17:00:00,Guided Coin Toss,01100001 01111010,30,1840,30,17,44.6
2024-03-21 17:00:00,Connecticut=Championships,espnfan28366074,30,1900,30,17,44.6
2024-03-21 17:00:00,The Algorithm,espnfan7035969934,30,1900,30,17,44.6
2024-03-21 17:00:00,a truly STELLAr bracket,czoldak,30,1880,30,17,44.6
2024-03-21 17:00:00,Will’s Bracket,w11k1,30,1880,30,17,44.6
2024-03-21 17:00:00,NGB (next gen bracket),ESPNFAN8470559628,10,1740,10,24,6.1
2024-03-21 17:00:00,Coolest Mascots,ESPNFAN0082047637,10,1740,10,24,6.1
2024-03-21 17:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
