time,entry_name,entry_user,current_points,maximum,r8,r16,r32,r64,rank,percentile
2024-04-06 19:00:00,Rebounds over Rework,ESPNFAN1522828408,980,1620,0,240,240,260,1,99.9
2024-04-06 19:00:00,Overshoot don't Collapse,ESPNFAN0275865701,860,1500,0,160,160,300,2,99.5
2024-04-06 19:00:00,Dan's Picks,ESPNFAN3409828595,790,1430,0,160,160,240,3,97.1
2024-04-06 19:00:00,¯\_(ツ)_/¯,JoshKep,740,1380,0,160,120,200,4,91
2024-04-06 19:00:00,Erin B.,ebreezy06,730,1370,0,160,160,180,5,89.1
2024-04-06 19:00:00,Brennan's Picks,brennan_oc43,720,1360,0,160,80,260,6,84.3
2024-04-06 19:00:00,Not the right outliers,Essigcandy,710,870,0,160,80,240,7,82.5
2024-04-06 19:00:00,Connecticut=Championships,espnfan28366074,690,1170,0,80,120,280,8,78.3
2024-04-06 19:00:00,Kula Than Your Bracket,espnfan1467754849,680,680,0,160,120,180,9,76.2
2024-04-06 19:00:00,Rick's Picks,ESPNFAN9352171647,680,1160,0,80,160,240,9,76.2
2024-04-06 19:00:00,EEQESKL greater than 1,erinevoss,670,1150,0,80,120,220,11,73.6
2024-04-06 19:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,660,660,0,80,160,200,12,71.2
2024-04-06 19:00:00,Rain dance,BDDJMerritt15,650,1130,0,80,120,220,13,68.7
2024-04-06 19:00:00,Donna's pick #1,ESPNFAN5573415521,640,1120,0,160,80,200,14,66.1
2024-04-06 19:00:00,Rio's puppy madness,RW15371501,630,630,0,0,200,180,15,63.5
2024-04-06 19:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,620,780,0,80,120,200,16,60.8
2024-04-06 19:00:00,The Algorithm,espnfan7035969934,610,770,0,80,160,160,17,58.2
2024-04-06 19:00:00,a truly STELLAr bracket,czoldak,570,1050,0,80,120,160,18,47.5
2024-04-06 19:00:00,Stella MM Output v38,espnfan39396853,560,720,0,80,80,180,19,44.9
2024-04-06 19:00:00,Will’s Bracket,w11k1,460,460,0,0,80,160,20,24
2024-04-06 19:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,420,0,0,80,140,21,18.6
2024-04-06 19:00:00,The Anilyst's Picks,The Anilyst,400,400,0,0,80,160,22,16.5
2024-04-06 19:00:00,Guided Coin Toss,01100001 01111010,380,380,0,0,40,160,23,14.7
2024-04-06 19:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,0,0,80,24,9.3
2024-04-06 19:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,0,0,60,25,6.2
2024-04-06 19:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,0,26,0
