time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-23 01:00:00,¯\_(ツ)_/¯,JoshKep,260,1730,260,1,99.9
2024-03-23 01:00:00,EEQESKL greater than 1,erinevoss,250,1540,250,2,99.3
2024-03-23 01:00:00,Overshoot don't Collapse,ESPNFAN0275865701,240,1830,240,3,97.4
2024-03-23 01:00:00,Rebounds over Rework,ESPNFAN1522828408,240,1750,240,3,97.4
2024-03-23 01:00:00,Rio's puppy madness,RW15371501,240,1370,240,3,97.4
2024-03-23 01:00:00,Rain dance,BDDJMerritt15,230,1500,230,6,92.3
2024-03-23 01:00:00,Erin B.,ebreezy06,230,1680,230,6,92.3
2024-03-23 01:00:00,Dan's Picks,ESPNFAN3409828595,230,1800,230,6,92.3
2024-03-23 01:00:00,Not the right outliers,Essigcandy,230,1740,230,6,92.3
2024-03-23 01:00:00,Stella MM Output v38,espnfan39396853,220,1690,220,10,81.9
2024-03-23 01:00:00,Brennan's Picks,brennan_oc43,220,1730,220,10,81.9
2024-03-23 01:00:00,Kula Than Your Bracket,espnfan1467754849,220,1710,220,10,81.9
2024-03-23 01:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,220,1770,220,10,81.9
2024-03-23 01:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,220,1790,220,10,81.9
2024-03-23 01:00:00,NGB (next gen bracket),ESPNFAN8470559628,210,1600,210,15,66.8
2024-03-23 01:00:00,a truly STELLAr bracket,czoldak,210,1620,210,15,66.8
2024-03-23 01:00:00,Will’s Bracket,w11k1,210,1620,210,15,66.8
2024-03-23 01:00:00,Donna's pick #1,ESPNFAN5573415521,200,1470,200,18,47.1
2024-03-23 01:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,200,1610,200,18,47.1
2024-03-23 01:00:00,Connecticut=Championships,espnfan28366074,200,1790,200,18,47.1
2024-03-23 01:00:00,The Algorithm,espnfan7035969934,200,1450,200,18,47.1
2024-03-23 01:00:00,Rick's Picks,ESPNFAN9352171647,200,1650,200,18,47.1
2024-03-23 01:00:00,Guided Coin Toss,01100001 01111010,180,1390,180,23,22.9
2024-03-23 01:00:00,The Anilyst's Picks,The Anilyst,160,990,160,24,12.3
2024-03-23 01:00:00,Coolest Mascots,ESPNFAN0082047637,150,940,150,25,9.7
2024-03-23 01:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
