time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 22:00:00,¯\_(ツ)_/¯,JoshKep,230,1740,230,1,99.8
2024-03-22 22:00:00,EEQESKL greater than 1,erinevoss,220,1550,220,2,99.1
2024-03-22 22:00:00,Rebounds over Rework,ESPNFAN1522828408,210,1760,210,3,96.2
2024-03-22 22:00:00,Erin B.,ebreezy06,210,1700,210,3,96.2
2024-03-22 22:00:00,Dan's Picks,ESPNFAN3409828595,210,1820,210,3,96.2
2024-03-22 22:00:00,Overshoot don't Collapse,ESPNFAN0275865701,200,1830,200,6,89.2
2024-03-22 22:00:00,Rio's puppy madness,RW15371501,200,1370,200,6,89.2
2024-03-22 22:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,200,1830,200,6,89.2
2024-03-22 22:00:00,Not the right outliers,Essigcandy,200,1750,200,6,89.2
2024-03-22 22:00:00,Stella MM Output v38,espnfan39396853,190,1760,190,10,76.4
2024-03-22 22:00:00,Kula Than Your Bracket,espnfan1467754849,190,1720,190,10,76.4
2024-03-22 22:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,190,1780,190,10,76.4
2024-03-22 22:00:00,Rain dance,BDDJMerritt15,190,1500,190,10,76.4
2024-03-22 22:00:00,Brennan's Picks,brennan_oc43,180,1730,180,14,59.1
2024-03-22 22:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,180,1650,180,14,59.1
2024-03-22 22:00:00,Guided Coin Toss,01100001 01111010,180,1430,180,14,59.1
2024-03-22 22:00:00,The Algorithm,espnfan7035969934,180,1470,180,14,59.1
2024-03-22 22:00:00,Rick's Picks,ESPNFAN9352171647,180,1670,180,14,59.1
2024-03-22 22:00:00,Donna's pick #1,ESPNFAN5573415521,170,1480,170,19,40
2024-03-22 22:00:00,NGB (next gen bracket),ESPNFAN8470559628,170,1600,170,19,40
2024-03-22 22:00:00,Connecticut=Championships,espnfan28366074,170,1800,170,19,40
2024-03-22 22:00:00,a truly STELLAr bracket,czoldak,170,1620,170,19,40
2024-03-22 22:00:00,Will’s Bracket,w11k1,170,1620,170,19,40
2024-03-22 22:00:00,The Anilyst's Picks,The Anilyst,150,1020,150,24,18.1
2024-03-22 22:00:00,Coolest Mascots,ESPNFAN0082047637,130,960,130,25,12.6
2024-03-22 22:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
