time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 21:00:00,¯\_(ツ)_/¯,JoshKep,200,1740,200,1,99.7
2024-03-22 21:00:00,Rebounds over Rework,ESPNFAN1522828408,190,1770,190,2,98.4
2024-03-22 21:00:00,EEQESKL greater than 1,erinevoss,190,1550,190,2,98.4
2024-03-22 21:00:00,Erin B.,ebreezy06,190,1710,190,2,98.4
2024-03-22 21:00:00,Overshoot don't Collapse,ESPNFAN0275865701,180,1840,180,5,94
2024-03-22 21:00:00,Dan's Picks,ESPNFAN3409828595,180,1820,180,5,94
2024-03-22 21:00:00,Stella MM Output v38,espnfan39396853,170,1770,170,7,83.9
2024-03-22 21:00:00,Rio's puppy madness,RW15371501,170,1370,170,7,83.9
2024-03-22 21:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,170,1830,170,7,83.9
2024-03-22 21:00:00,Not the right outliers,Essigcandy,170,1750,170,7,83.9
2024-03-22 21:00:00,Brennan's Picks,brennan_oc43,160,1740,160,11,68.1
2024-03-22 21:00:00,Kula Than Your Bracket,espnfan1467754849,160,1720,160,11,68.1
2024-03-22 21:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,160,1780,160,11,68.1
2024-03-22 21:00:00,Rain dance,BDDJMerritt15,160,1500,160,11,68.1
2024-03-22 21:00:00,Donna's pick #1,ESPNFAN5573415521,150,1490,150,15,46.5
2024-03-22 21:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,150,1650,150,15,46.5
2024-03-22 21:00:00,NGB (next gen bracket),ESPNFAN8470559628,150,1630,150,15,46.5
2024-03-22 21:00:00,Guided Coin Toss,01100001 01111010,150,1430,150,15,46.5
2024-03-22 21:00:00,The Algorithm,espnfan7035969934,150,1470,150,15,46.5
2024-03-22 21:00:00,Rick's Picks,ESPNFAN9352171647,150,1670,150,15,46.5
2024-03-22 21:00:00,Connecticut=Championships,espnfan28366074,140,1800,140,21,31.3
2024-03-22 21:00:00,a truly STELLAr bracket,czoldak,140,1620,140,21,31.3
2024-03-22 21:00:00,Will’s Bracket,w11k1,140,1620,140,21,31.3
2024-03-22 21:00:00,The Anilyst's Picks,The Anilyst,130,1030,130,24,20.4
2024-03-22 21:00:00,Coolest Mascots,ESPNFAN0082047637,120,1040,120,25,13.4
2024-03-22 21:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
