time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-22 19:00:00,Rebounds over Rework,ESPNFAN1522828408,190,1800,190,1,96.5
2024-03-22 19:00:00,EEQESKL greater than 1,erinevoss,190,1560,190,1,99.3
2024-03-22 19:00:00,Erin B.,ebreezy06,190,1720,190,1,96.5
2024-03-22 19:00:00,¯\_(ツ)_/¯,JoshKep,190,1740,190,1,99.3
2024-03-22 19:00:00,Overshoot don't Collapse,ESPNFAN0275865701,180,1850,180,5,96.5
2024-03-22 19:00:00,Dan's Picks,ESPNFAN3409828595,180,1830,180,5,96.5
2024-03-22 19:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,170,1860,170,7,88.7
2024-03-22 19:00:00,Not the right outliers,Essigcandy,170,1780,170,7,74.7
2024-03-22 19:00:00,Stella MM Output v38,espnfan39396853,160,1770,160,9,74.7
2024-03-22 19:00:00,Brennan's Picks,brennan_oc43,160,1770,160,9,53.4
2024-03-22 19:00:00,Kula Than Your Bracket,espnfan1467754849,160,1750,160,9,74.7
2024-03-22 19:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,160,1810,160,9,74.7
2024-03-22 19:00:00,Rio's puppy madness,RW15371501,160,1370,160,9,53.4
2024-03-22 19:00:00,Rain dance,BDDJMerritt15,160,1530,160,9,74.7
2024-03-22 19:00:00,Donna's pick #1,ESPNFAN5573415521,150,1520,150,15,37.3
2024-03-22 19:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,150,1660,150,15,37.3
2024-03-22 19:00:00,The Algorithm,espnfan7035969934,150,1500,150,15,53.4
2024-03-22 19:00:00,Rick's Picks,ESPNFAN9352171647,150,1700,150,15,53.4
2024-03-22 19:00:00,NGB (next gen bracket),ESPNFAN8470559628,140,1630,140,19,37.3
2024-03-22 19:00:00,Guided Coin Toss,01100001 01111010,140,1430,140,19,37.3
2024-03-22 19:00:00,Connecticut=Championships,espnfan28366074,140,1810,140,19,37.3
2024-03-22 19:00:00,a truly STELLAr bracket,czoldak,140,1650,140,19,37.3
2024-03-22 19:00:00,Will’s Bracket,w11k1,140,1770,140,19,37.3
2024-03-22 19:00:00,The Anilyst's Picks,The Anilyst,130,1660,130,24,24.9
2024-03-22 19:00:00,Coolest Mascots,ESPNFAN0082047637,120,1050,120,25,16.5
2024-03-22 19:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
