time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-23 00:00:00,¯\_(ツ)_/¯,JoshKep,240,1740,240,1,99.9
2024-03-23 00:00:00,EEQESKL greater than 1,erinevoss,230,1550,230,2,99.2
2024-03-23 00:00:00,Rebounds over Rework,ESPNFAN1522828408,220,1760,220,3,96.6
2024-03-23 00:00:00,Erin B.,ebreezy06,220,1700,220,3,96.6
2024-03-23 00:00:00,Dan's Picks,ESPNFAN3409828595,220,1820,220,3,96.6
2024-03-23 00:00:00,Overshoot don't Collapse,ESPNFAN0275865701,210,1830,210,6,90.1
2024-03-23 00:00:00,Rio's puppy madness,RW15371501,210,1370,210,6,90.1
2024-03-23 00:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,210,1830,210,6,90.1
2024-03-23 00:00:00,Not the right outliers,Essigcandy,210,1750,210,6,90.1
2024-03-23 00:00:00,Stella MM Output v38,espnfan39396853,200,1760,200,10,78
2024-03-23 00:00:00,Kula Than Your Bracket,espnfan1467754849,200,1720,200,10,78
2024-03-23 00:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,200,1780,200,10,78
2024-03-23 00:00:00,Rain dance,BDDJMerritt15,200,1500,200,10,78
2024-03-23 00:00:00,Brennan's Picks,brennan_oc43,190,1730,190,14,61.4
2024-03-23 00:00:00,Rick's Picks,ESPNFAN9352171647,190,1670,190,14,61.4
2024-03-23 00:00:00,Donna's pick #1,ESPNFAN5573415521,180,1480,180,16,42.9
2024-03-23 00:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,180,1620,180,16,42.9
2024-03-23 00:00:00,NGB (next gen bracket),ESPNFAN8470559628,180,1600,180,16,42.9
2024-03-23 00:00:00,Guided Coin Toss,01100001 01111010,180,1420,180,16,42.9
2024-03-23 00:00:00,Connecticut=Championships,espnfan28366074,180,1800,180,16,42.9
2024-03-23 00:00:00,The Algorithm,espnfan7035969934,180,1460,180,16,42.9
2024-03-23 00:00:00,a truly STELLAr bracket,czoldak,180,1620,180,16,42.9
2024-03-23 00:00:00,Will’s Bracket,w11k1,180,1620,180,16,42.9
2024-03-23 00:00:00,The Anilyst's Picks,The Anilyst,150,1010,150,24,14.8
2024-03-23 00:00:00,Coolest Mascots,ESPNFAN0082047637,140,960,140,25,11.2
2024-03-23 00:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
