time,entry_name,entry_user,current_points,maximum,r16,r32,r64,rank,percentile
2024-03-29 04:00:00,Rebounds over Rework,ESPNFAN1522828408,620,1700,120,260,240,1,99.8
2024-03-29 04:00:00,Overshoot don't Collapse,ESPNFAN0275865701,580,1620,40,300,240,2,98.4
2024-03-29 04:00:00,Dan's Picks,ESPNFAN3409828595,550,1590,80,240,230,3,94.8
2024-03-29 04:00:00,EEQESKL greater than 1,erinevoss,550,1310,80,220,250,3,94.8
2024-03-29 04:00:00,Connecticut=Championships,espnfan28366074,530,1570,40,280,210,5,89.9
2024-03-29 04:00:00,Rick's Picks,ESPNFAN9352171647,520,1440,80,240,200,6,86.6
2024-03-29 04:00:00,Brennan's Picks,brennan_oc43,520,1520,40,260,220,6,86.6
2024-03-29 04:00:00,Rio's puppy madness,RW15371501,510,1270,80,180,250,8,82.6
2024-03-29 04:00:00,Not the right outliers,Essigcandy,510,1510,40,240,230,8,82.6
2024-03-29 04:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,500,1420,80,200,220,10,77.7
2024-03-29 04:00:00,¯\_(ツ)_/¯,JoshKep,500,1420,40,200,260,10,77.7
2024-03-29 04:00:00,Erin B.,ebreezy06,490,1410,80,180,230,12,72.6
2024-03-29 04:00:00,Rain dance,BDDJMerritt15,490,1250,40,220,230,12,72.6
2024-03-29 04:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,460,1020,40,200,220,14,54
2024-03-29 04:00:00,The Algorithm,espnfan7035969934,450,1370,80,160,210,15,49.2
2024-03-29 04:00:00,Donna's pick #1,ESPNFAN5573415521,440,1200,40,200,200,16,44.6
2024-03-29 04:00:00,Stella MM Output v38,espnfan39396853,440,1320,40,180,220,16,44.6
2024-03-29 04:00:00,Kula Than Your Bracket,espnfan1467754849,440,1320,40,180,220,16,44.6
2024-03-29 04:00:00,a truly STELLAr bracket,czoldak,410,1330,40,160,210,19,32.4
2024-03-29 04:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,380,540,40,140,200,20,23.6
2024-03-29 04:00:00,Will’s Bracket,w11k1,380,1180,0,160,220,20,23.6
2024-03-29 04:00:00,Guided Coin Toss,01100001 01111010,340,1100,0,160,180,22,16.3
2024-03-29 04:00:00,The Anilyst's Picks,The Anilyst,320,640,0,160,160,23,14
2024-03-29 04:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,570,0,80,210,24,11.4
2024-03-29 04:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,60,150,25,6.7
2024-03-29 04:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,26,0
