time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-23 11:00:00,¯\_(ツ)_/¯,JoshKep,260,1720,260,1,99.7
2024-03-23 11:00:00,EEQESKL greater than 1,erinevoss,250,1510,250,2,98.8
2024-03-23 11:00:00,Rio's puppy madness,RW15371501,250,1370,250,2,98.8
2024-03-23 11:00:00,Overshoot don't Collapse,ESPNFAN0275865701,240,1820,240,4,96.1
2024-03-23 11:00:00,Rebounds over Rework,ESPNFAN1522828408,240,1740,240,4,96.1
2024-03-23 11:00:00,Rain dance,BDDJMerritt15,230,1490,230,6,89.4
2024-03-23 11:00:00,Erin B.,ebreezy06,230,1610,230,6,89.4
2024-03-23 11:00:00,Dan's Picks,ESPNFAN3409828595,230,1770,230,6,89.4
2024-03-23 11:00:00,Not the right outliers,Essigcandy,230,1710,230,6,89.4
2024-03-23 11:00:00,Stella MM Output v38,espnfan39396853,220,1660,220,10,78
2024-03-23 11:00:00,Brennan's Picks,brennan_oc43,220,1720,220,10,78
2024-03-23 11:00:00,Kula Than Your Bracket,espnfan1467754849,220,1680,220,10,78
2024-03-23 11:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,220,1760,220,10,78
2024-03-23 11:00:00,Will’s Bracket,w11k1,220,1620,220,10,78
2024-03-23 11:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,220,1760,220,10,78
2024-03-23 11:00:00,NGB (next gen bracket),ESPNFAN8470559628,210,1590,210,16,62.4
2024-03-23 11:00:00,Connecticut=Championships,espnfan28366074,210,1790,210,16,62.4
2024-03-23 11:00:00,The Algorithm,espnfan7035969934,210,1450,210,16,62.4
2024-03-23 11:00:00,a truly STELLAr bracket,czoldak,210,1610,210,16,62.4
2024-03-23 11:00:00,Donna's pick #1,ESPNFAN5573415521,200,1440,200,20,43
2024-03-23 11:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,200,1600,200,20,43
2024-03-23 11:00:00,Rick's Picks,ESPNFAN9352171647,200,1640,200,20,43
2024-03-23 11:00:00,Guided Coin Toss,01100001 01111010,180,1320,180,23,20.6
2024-03-23 11:00:00,The Anilyst's Picks,The Anilyst,160,920,160,24,11.1
2024-03-23 11:00:00,Coolest Mascots,ESPNFAN0082047637,150,910,150,25,8.9
2024-03-23 11:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
