time,entry_name,entry_user,current_points,maximum,round_score,rank,percentile
2024-03-21 21:00:00,Erin B.,ebreezy06,90,1920,90,1,100
2024-03-21 21:00:00,Rebounds over Rework,ESPNFAN1522828408,80,1890,80,2,97.6
2024-03-21 21:00:00,EEQESKL greater than 1,erinevoss,80,1910,80,2,97.6
2024-03-21 21:00:00,¯\_(ツ)_/¯,JoshKep,80,1910,80,2,97.6
2024-03-21 21:00:00,Stella MM Output v38,espnfan39396853,70,1840,70,5,97.6
2024-03-21 21:00:00,Brennan's Picks,brennan_oc43,70,1900,70,5,83.8
2024-03-21 21:00:00,Overshoot don't Collapse,ESPNFAN0275865701,70,1900,70,5,83.8
2024-03-21 21:00:00,Kula Than Your Bracket,espnfan1467754849,70,1840,70,5,83.8
2024-03-21 21:00:00,Will’s Bracket,w11k1,70,1880,70,5,83.8
2024-03-21 21:00:00,Rain dance,BDDJMerritt15,70,1900,70,5,83.8
2024-03-21 21:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,70,1900,70,5,83.8
2024-03-21 21:00:00,Not the right outliers,Essigcandy,70,1900,70,5,83.8
2024-03-21 21:00:00,Donna's pick #1,ESPNFAN5573415521,60,1890,60,13,52.6
2024-03-21 21:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,60,1870,60,13,83.8
2024-03-21 21:00:00,The Anilyst's Picks,The Anilyst,60,1830,60,13,52.6
2024-03-21 21:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,60,1870,60,13,52.6
2024-03-21 21:00:00,Rio's puppy madness,RW15371501,60,1730,60,13,83.8
2024-03-21 21:00:00,The Algorithm,espnfan7035969934,60,1750,60,13,52.6
2024-03-21 21:00:00,Rick's Picks,ESPNFAN9352171647,60,1890,60,13,52.6
2024-03-21 21:00:00,Dan's Picks,ESPNFAN3409828595,60,1870,60,13,52.6
2024-03-21 21:00:00,Guided Coin Toss,01100001 01111010,50,1820,50,21,52.6
2024-03-21 21:00:00,Connecticut=Championships,espnfan28366074,50,1880,50,21,52.6
2024-03-21 21:00:00,NGB (next gen bracket),ESPNFAN8470559628,40,1710,40,23,9.7
2024-03-21 21:00:00,a truly STELLAr bracket,czoldak,40,1710,40,23,21.8
2024-03-21 21:00:00,Coolest Mascots,ESPNFAN0082047637,30,1720,30,25,5.8
2024-03-21 21:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,26,0
